Wrong,Correct
Aizwal,Aizawl
Anugul,Angul
Ashok Nagar,Ashoknagar
Badgam,Budgam
Baleshwar,Balasore
Banas Kantha,Banaskantha
Bangalore Rural,Bengaluru Rural
Bangalore Urban,Bengaluru Urban
Baramula,Baramulla
Belgaum,Belagavi
Bellary,Ballari
Bemetara,Bametara
Bid,Beed
Bishwanath,Biswanath
Chamarajanagar,Chamarajanagara
Dadra And Nagar Haveli,Dadra and Nagar Haveli
Dantewada,Dakshin Bastar Dantewada
Debagarh,Deogarh
Devbhumi Dwaraka,Devbhumi Dwarka
Dhaulpur,Dholpur
East Karbi Anglong,Karbi Anglong
Fategarh Sahib,Fatehgarh Sahib
Firozpur,Ferozepur
Gondiya,Gondia
Hugli,Hooghly
Jagatsinghapur,Jagatsinghpur
Jajapur,Jajpur
Jalor,Jalore
Jhunjhunun,Jhunjhunu
Jyotiba Phule Nagar,Amroha
Kabirdham,Kabeerdham
Kaimur (Bhabua),Kaimur
Kanchipuram,Kancheepuram
Kheri,Lakhimpur Kheri
Kochbihar,Cooch Behar
Kodarma,Koderma
Komram Bheem,Komaram Bheem
Lahul And Spiti,Lahaul and Spiti
Mahesana,Mehsana
Mahrajganj,Maharajganj
Maldah,Malda
Marigaon,Morigaon
Muktsar,Sri Muktsar Sahib
Mumbai City,Mumbai
Nandubar,Nandurbar
Narsimhapur,Narsinghpur
Nav Sari,Navsari
Pakaur,Pakur
Palghat,Palakkad
Panch Mahal,Panchmahal
Pashchim Champaran,West Champaran
Pashchimi Singhbhum,West Singhbhum
Pattanamtitta,Pathanamthitta
Purba Champaran,East Champaran
Purbi Singhbhum,East Singhbhum
Puruliya,Purulia
Rae Bareilly,Rae Bareli
Rajauri,Rajouri
Rangareddy,Ranga Reddy
Ri Bhoi,Ribhoi
Sabar Kantha,Sabarkantha
Sahibzada Ajit Singh Nagar,S.A.S. Nagar
Sait Kibir Nagar,Sant Kabir Nagar
Sepahijala,Sipahijala
Seraikela Kharsawan,Saraikela-Kharsawan
Shaheed Bhagat Singh Nagar,Shahid Bhagat Singh Nagar
Shimoga,Shivamogga
Shopian,Shopiyan
Siddharth Nagar,Siddharthnagar
Sivagangai,Sivaganga
Sonapur,Kamrup
Sri Ganganagar,Ganganagar
Sri Potti Sriramulu Nellore,S.P.S. Nellore
The Dangs,Dang
The Nilgiris,Nilgiris
Thoothukudi,Thoothukkudi
Tiruchchirappalli,Tiruchirappalli
Tirunelveli Kattabo,Tirunelveli
Tiruvanamalai,Tiruvannamalai
Tumkur,Tumakuru
Yadagiri,Yadgir
Ysr,Y.S.R. Kadapa
