stateid,vaccinationratio,populationratio,ratioofratios
DN,0.4972214975215236,0.7059649306372998,0.7043147271815102
NL,0.7523847773701235,0.9309070715923209,0.8082275882630968
DL,0.6859113351968442,0.8219188627440918,0.8345243871236058
JK,0.7455523824517059,0.8919171561092959,0.8358986900800746
UP,0.7781009353239631,0.9114677362542539,0.8536790764768352
AR,0.8122076495154382,0.9382318829211443,0.8656790120867187
JH,0.8223346310118775,0.9484654597389357,0.8670158966444855
LD,0.8319943102494534,0.9464722398333484,0.8790477683697814
MN,0.8669173936818035,0.9851395745544583,0.879994486135508
GA,0.8596636196403641,0.9733000514110994,0.8832462490821981
PB,0.7944408889108464,0.8951060028491479,0.8875383321998942
TG,0.87734090982441,0.987902335269874,0.8880846602966467
MH,0.8470489415080089,0.9356000630725496,0.9053536601165512
MP,0.849083273532351,0.9309320997228939,0.9120786293491153
HR,0.8032840980600716,0.8786188745921186,0.9142577302735276
OR,0.8979120155261517,0.9786586424694472,0.9174925521124019
ML,0.9099303654500563,0.9887554362689632,0.920278495644635
CH,0.7546896226228866,0.8176636017793454,0.9229830225786999
AS,0.8957232319358874,0.9577582478885868,0.9352289410303093
WB,0.8905877277610792,0.9499682187369543,0.9374921288895061
GJ,0.863152360579201,0.9192528974705998,0.9389715963411548
BR,0.8729205751333025,0.9178884795222505,0.9510094032203636
TN,0.9728189400906389,0.9964325615920648,0.9763018367608371
RJ,0.9079650704817223,0.9281720003520576,0.9782293261780458
MZ,0.9572436388182319,0.975740943819901,0.9810428114974304
UT,0.9429775115416613,0.9536749960090992,0.9887828825205607
TR,0.9507338376957786,0.9600747128644412,0.9902706788924858
CT,0.979357083110023,0.987065094270724,0.9921909799004737
KL,1.0862531101289639,1.0843078720382304,1.0017939905638396
AN,0.867205496384169,0.8578744679413554,1.0108769159026325
PY,1.0531766617374936,1.037437694996498,1.0151709994893223
HP,0.9973037075952007,0.9715256702355313,1.0265335627759788
LA,0.7717062430775049,0.749783102401184,1.029239310149978
KA,1.0421991980865006,0.9851192611887727,1.0579421590324485
AP,1.191942444125399,0.9963886832229583,1.1962625270591138
